typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,58,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,443114.485,443114.485,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,69,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,4153742.97,4153742.97,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,82,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,12867200.845,12867200.845,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,95,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,42236475.517,42236475.517,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,56,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,3432062.618,3432062.618,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,67,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,268378.186,268378.186,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,96,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,6127320.141,6127320.141,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,37,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,535414.503,535414.503,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,84,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,477950147.931,477950147.931,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,91,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,16039028.022,16039028.022,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,33,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,68523238.72,68523238.72,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,73,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,52914449.869,52914449.869,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,97,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,4845997.651,4845997.651,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,53,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,85575.746,85575.746,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,83,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,9210123.094,9210123.094,0,False,True
C,M,20231101,2023,11,202311,36,,,X,,0,,,0,,,H6,HS,True,57,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,2023450.913,2023450.913,0,False,True
